BranchesFrom	Vessel	VesselType	BodyPart	Sex	Anastomoses	ForBranchesSee	MergedVessel	CoordX	CoordY	BranchSequence	CellType	CellTypeLabel	CellTypeID	Biomarkers	BiomarkersLabel	BiomarkersID	ReferenceURL	Reference	ReferenceDOI	UBERON	FMA	BodyPartUberon	UBERONLabel	FMALabel	PathFromHeart
left atrium	left atrium	heart chamber	heart chamber				0	10	10	999	cardiac endothelial cell	cardiac endothelial cell	CL:0010008	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Heart	https://en.wikipedia.org/wiki/Heart		UBERON:0002079	fma7097	UBERON:0004151	left cardiac atrium	Left atrium	left atrium
left atrium	left inferior pulmonary vein	vein	lung				0	7	50	1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Pulmonary_vein	https://en.wikipedia.org/wiki/Pulmonary_vein			fma49913	UBERON:0002048		Left inferior pulmonary vein	left atrium;left inferior pulmonary vein
left atrium	left superior pulmonary vein	vein	lung				0	10	60	2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Pulmonary_vein	https://en.wikipedia.org/wiki/Pulmonary_vein			fma49916	UBERON:0002048		Left superior pulmonary vein	left atrium;left superior pulmonary vein
left atrium	right inferior pulmonary vein	vein	lung				0	0	30	3	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Pulmonary_vein	https://en.wikipedia.org/wiki/Pulmonary_vein			fma49911	UBERON:0002048		Right inferior pulmonary vein	left atrium;right inferior pulmonary vein
left atrium	right superior pulmonary vein	vein	lung				0	3	40	4	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Pulmonary_vein	https://en.wikipedia.org/wiki/Pulmonary_vein			fma49914	UBERON:0002048		Right superior pulmonary vein	left atrium;right superior pulmonary vein
left ventricle	left ventricle	heart chamber	heart chamber				0	10	-10	999	cardiac endothelial cell	cardiac endothelial cell	CL:0010008	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Heart	https://en.wikipedia.org/wiki/Heart		UBERON:0002084	fma7101	UBERON:0004151	heart left ventricle	Left ventricle	left ventricle
left ventricle	aorta	artery	abdominal cavity;thoracic cavity				0	15	30	1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Aorta	https://en.wikipedia.org/wiki/Aorta		UBERON:0000947	fma3734	UBERON:0003684;UBERON:0002224	aorta	Aorta	left ventricle;aorta
aorta	ascending aorta	artery	thoracic cavity				0	20	40	1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Ascending_aorta	https://en.wikipedia.org/wiki/Ascending_aorta		UBERON:0001496	fma3736	UBERON:0002224	ascending aorta	Ascending aorta	left ventricle;aorta;ascending aorta
ascending aorta	aortic arch	artery	thoracic cavity				0	30	50	3	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Aortic_arch	https://en.wikipedia.org/wiki/Aortic_arch		UBERON:0001508	fma3768	UBERON:0002224	arch of aorta	Arch of aorta	left ventricle;aorta;ascending aorta;aortic arch
aortic arch	brachiocephalic artery	artery	thoracic cavity				0	25	60	1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Brachiocephalic_artery	https://en.wikipedia.org/wiki/Brachiocephalic_artery		UBERON:0001529	fma3932	UBERON:0002224	brachiocephalic artery	Brachiocephalic artery	left ventricle;aorta;ascending aorta;aortic arch;brachiocephalic artery
brachiocephalic artery	right common carotid artery	artery	neck			common carotid artery	0	25	80	1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Common_carotid_artery	https://en.wikipedia.org/wiki/Common_carotid_artery		UBERON:0001531	fma3941	UBERON:0000974	right common carotid artery plus branches	Right common carotid artery	left ventricle;aorta;ascending aorta;aortic arch;brachiocephalic artery;right common carotid artery
brachiocephalic artery	right subclavian artery	artery	thoracic cavity			subclavian artery	0	20	70	2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Subclavian_artery	https://en.wikipedia.org/wiki/Subclavian_artery		UBERON:0001534	fma3953	UBERON:0002224	right subclavian artery	Right subclavian artery	left ventricle;aorta;ascending aorta;aortic arch;brachiocephalic artery;right subclavian artery
aortic arch	common carotid artery	artery	neck				1	30	90	2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Common_carotid_artery	https://en.wikipedia.org/wiki/Common_carotid_artery		UBERON:0001530	fma3939	UBERON:0000974	common carotid artery plus branches	Common carotid artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery
common carotid artery	external carotid artery	artery	neck				0	15	110	1	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/External_carotid_artery	https://en.wikipedia.org/wiki/External_carotid_artery		UBERON:0001070	fma10635	UBERON:0000974	external carotid artery	External carotid artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery
external carotid artery	ascending pharyngeal artery	artery	neck				0			2	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery			fma49497	UBERON:0000974		Ascending pharyngeal artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery
ascending pharyngeal artery	clival branch of ascending pharyngeal artery	artery	head				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	http://www.ajnr.org/content/23/7/1246	Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256				UBERON:0000033			left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;clival branch of ascending pharyngeal artery
ascending pharyngeal artery	inferior tympanic artery	artery	ear				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Inferior_tympanic_artery	https://en.wikipedia.org/wiki/Inferior_tympanic_artery			fma49506	UBERON:0001690		Inferior tympanic artery	left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;inferior tympanic artery
ascending pharyngeal artery	neuromeningeal trunk	artery	head				0			999	blood vessel endothelial cell	blood vessel endothelial cell	CL:0000071	PECAM1 (CD31)	PECAM1	HGNC:8823	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery	https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery				UBERON:0000033			left ventricle;aorta;ascending aorta;aortic arch;common carotid artery;external carotid artery;ascending pharyngeal artery;neuromeningeal trunk
